PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
URR410;META;VILLAVICENCI;PUBLICO
HSR414;RISARALDA;LA VIRGINIA;PARTICULAR
ISR414;NORTESANTAN;CUCUTA;PARTICULAR
SSR411;CUNDINAMARCA;FUSAGASUGA;PUBLICO
HTR417;QUINDIO;ARMENIA;PARTICULAR
HTR419;QUINDIO;ARMENIA;PARTICULAR
NTR413;VALLE;BUENAVENTURA;PARTICULAR
DUR410;CESAR;VALLEDUPAR;PARTICULAR
IVR412;NORTESANTAN;OCANA;PARTICULAR
IVR416;NORTESANTAN;OCANA;PARTICULAR
IVR417;NORTESANTAN;OCANA;PARTICULAR
GWR416;CAUCA;POPAYAN;PARTICULAR
FYR418;CUNDINAMARCA;FACATATIVA;PARTICULAR
IYR417;CESAR;AGUACHICA;PARTICULAR
CZR418;MAGDALENA;CIENAGA;PARTICULAR
TZR415;BOLIVAR;CARTAGENA;PUBLICO
DBS413;CALDAS;LA DORADA;PARTICULAR
HBS418;CALDAS;MANIZALES;PARTICULAR
DCS418;CALDAS;LA DORADA;PARTICULAR
GCS419;CUNDINAMARCA;FACATATIVA;PARTICULAR
